Sport	State	CaptureDevice	Lat	Lon	DateTaken
extreme	Illinois	canon	42.193806	-87.802594	1236705581000
football	Arkansas	canon	34.811624	-92.465229	1284759161000
other	Kansas	canon	39.839394	-96.64367	1122024798000
extreme	Ohio	nikon	39.10083	-84.515419	1321448715000
other	Wisconsin	nikon	43.041174	-89.246256	1221919414000
other	NewYork	apple	40.947952	-73.854309	1382791943000
other	Wisconsin	canon	43.903311	-91.104587	1286642941000
baseball	Michigan	nikon	42.73207	-84.488146	1398522786000
football	Ohio	other	39.629969	-82.544875	1380827262000
extreme	NewMexico	other	32.750421	-106.343557	1294397656000
basketball	Oklahoma	canon	36.364679	-96.014531	1246656792000
basketball	Texas	other	29.904953	-95.688493	1289728404000
basketball	Virginia	canon	37.28442	-82.063493	1157750367000
extreme	SouthCarolina	canon	34.792871	-81.189565	1182003437000
football	Massachusetts	other	42.567952	-71.135669	1210435985000
golf	Pennsylvania	canon	40.779534	-77.798641	1369651933000
extreme	Virginia	other	37.055117	-79.54109	1139173836000
extreme	California	canon	33.985288	-118.47516	1326042045000
soccer	SouthCarolina	nikon	32.8709	-79.91984	1297482535000
soccer	Oklahoma	canon	36.109128	-95.983713	1241879473000
other	Minnesota	panasonic	44.847943	-92.790704	1280692993000
other	Maine	other	46.237802	-69.33197	1186389757000
other	Colorado	other	37.622134	-104.784164	1187972825000
football	Connecticut	canon	41.136568	-73.366613	1379858164000
extreme	Colorado	other	39.752246	-104.888534	1254663480000
extreme	Virginia	nikon	38.565213	-78.374233	1315059971000
extreme	NorthCarolina	panasonic	35.225452	-75.636141	1364215768000
other	Maine	canon	44.352786	-68.225355	1308898123000
extreme	California	canon	33.964844	-116.583637	1266049122000
other	Florida	canon	25.817308	-80.123252	1249144485000
other	California	other	37.769501	-122.485982	1188744890000
extreme	NewJersey	canon	41.040228	-74.265003	1298129343000
baseball	Massachusetts	other	42.346645	-71.098838	1244655406000
other	NewYork	other	43.083027	-79.070936	1159358868000
extreme	California	other	37.909228	-122.358233	1348402302000
running	Louisiana	other	29.961388	-90.065016	1236992727000
running	Pennsylvania	nikon	39.91929	-75.391852	1352722829000
other	NewYork	canon	41.184209	-73.894729	1308501404000
other	SouthCarolina	other	34.499333	-79.310333	1324738436000
